loading lfm2.5-vl-3b …
loaded in 6.0s — 26 task(s)
[  1/ 26] ok   general-cannon|w030|open (3583ms)
[  2/ 26] ok   general-cannon|w031|open (3560ms)
[  3/ 26] ok   general-cannon|w032|open (3572ms)
[  4/ 26] ok   general-cannon|w033|open (3368ms)
[  5/ 26] ok   general-cannon|w034|open (3561ms)
[  6/ 26] ok   general-cannon|w035|open (3620ms)
[  7/ 26] ok   general-cannon|w036|open (3781ms)
[  8/ 26] ok   general-cannon|w037|open (3550ms)
[  9/ 26] ok   general-cannon|w038|open (3554ms)
[ 10/ 26] ok   general-cannon|w039|open (3586ms)
[ 11/ 26] ok   general-cannon|w040|open (3527ms)
[ 12/ 26] ok   general-cannon|w041|open (3525ms)
[ 13/ 26] ok   general-cannon|w042|open (3559ms)
[ 14/ 26] ok   general-cannon|w043|open (3547ms)
[ 15/ 26] ok   general-cannon|w044|open (3551ms)
[ 16/ 26] ok   general-cannon|w045|open (3328ms)
[ 17/ 26] ok   general-cannon|w046|open (3580ms)
[ 18/ 26] ok   general-cannon|w047|open (3593ms)
[ 19/ 26] ok   general-cannon|w048|open (3565ms)
[ 20/ 26] ok   general-cannon|w049|open (3532ms)
[ 21/ 26] ok   general-cannon|w050|open (3554ms)
[ 22/ 26] ok   general-cannon|w051|open (3229ms)
[ 23/ 26] ok   general-cannon|w052|open (3548ms)
[ 24/ 26] ok   general-cannon|w053|open (3532ms)
[ 25/ 26] ok   general-cannon|w054|open (3523ms)
[ 26/ 26] ok   general-cannon|w055|open (3715ms)
done — 26/26 ok, output runs/film/cannon-long/lfm2.5-vl-3b.jsonl
DONE lfm2.5-vl-3b  11:24:39  lines=26 unique=26 tasks=26 empty=0
ALLDONE
